Date	S&P
7/18/05	1221.13
7/19/05	1229.35
7/20/05	1235.2
7/21/05	1227.04
7/22/05	1233.68
7/25/05	1229.03
7/26/05	1231.16
7/27/05	1236.79
7/28/05	1243.72
7/29/05	1234.18
8/1/05	1235.35
8/2/05	1244.12
8/3/05	1245.04
8/4/05	1235.86
8/5/05	1226.42
8/8/05	1223.13
8/9/05	1231.38
8/10/05	1229.13
8/11/05	1237.81
8/12/05	1230.39
8/15/05	1233.87
8/16/05	1219.34
8/17/05	1220.24
8/18/05	1219.02
8/19/05	1219.71
8/22/05	1221.73
8/23/05	1217.59
8/24/05	1209.59
8/25/05	1212.37
8/26/05	1205.1
8/29/05	1212.28
8/30/05	1208.41
8/31/05	1220.33
9/1/05	1221.59
9/2/05	1218.02
9/6/05	1233.39
9/7/05	1236.36
9/8/05	1231.67
9/9/05	1241.48
9/12/05	1240.56
9/13/05	1231.2
9/14/05	1227.16
9/15/05	1227.73
9/16/05	1237.91
9/19/05	1231.02
9/20/05	1221.34
9/21/05	1210.2
9/22/05	1214.62
9/23/05	1215.29
9/26/05	1215.63
9/27/05	1215.66
9/28/05	1216.89
9/29/05	1227.68
9/30/05	1228.81
10/3/05	1226.7
10/4/05	1214.47
10/5/05	1196.39
10/6/05	1191.49
10/7/05	1195.9
10/10/05	1187.33
10/11/05	1184.87
10/12/05	1177.68
10/13/05	1176.84
10/14/05	1186.57
10/17/05	1190.1
10/18/05	1178.14
10/19/05	1195.76
10/20/05	1177.8
10/21/05	1179.59
10/24/05	1199.38
10/25/05	1196.54
10/26/05	1191.38
10/27/05	1178.9
10/28/05	1198.41
10/31/05	1207.01
11/1/05	1202.76
11/2/05	1214.76
11/3/05	1219.94
11/4/05	1220.14
11/7/05	1222.81
11/8/05	1218.59
11/9/05	1220.65
11/10/05	1230.96
11/11/05	1234.72
11/14/05	1233.76
11/15/05	1229.01
11/16/05	1231.21
11/17/05	1242.8
11/18/05	1248.27
11/21/05	1254.85
11/22/05	1261.23
11/23/05	1265.61
11/25/05	1268.25
11/28/05	1257.46
11/29/05	1257.48
11/30/05	1249.48
12/1/05	1264.67
12/2/05	1265.08
12/5/05	1262.09
12/6/05	1263.7
12/7/05	1257.37
12/8/05	1255.84
12/9/05	1259.37
12/12/05	1260.43
12/13/05	1267.43
12/14/05	1272.74
12/15/05	1270.94
12/16/05	1267.32
12/19/05	1259.92
12/20/05	1259.62
12/21/05	1262.79
12/22/05	1268.12
12/23/05	1268.66
12/27/05	1256.54
12/28/05	1258.17
12/29/05	1254.42
12/30/05	1248.29
1/3/06	1268.8
1/4/06	1273.46
1/5/06	1273.48
1/6/06	1285.45
1/9/06	1290.15
1/10/06	1289.69
1/11/06	1294.18
1/12/06	1286.06
1/13/06	1287.61
